"partit","local","visitant","victoria_local","victoria_visitant","empat"
Mèxic - Sud-Àfrica,2.0,0.0,true,false,false
Corea Sud - Txèquia,2.0,1.0,true,false,false
Canadà - Bosnia,1.0,1.0,false,false,true
EUA - Paraguai,4.0,1.0,true,false,false
Qatar - Suïssa,1.0,1.0,false,false,true
Brasil - Marroc,1.0,1.0,false,false,true
Haití - Escòcia,0.0,1.0,false,true,false
Austràlia - Turquia,2.0,0.0,true,false,false
Alemanya - Curaçao,7.0,1.0,true,false,false
Països Baixos - Japó,2.0,2.0,false,false,true
Costa d’Ivori - Equador,1.0,0.0,true,false,false
Suècia - Tunísia,5.0,1.0,true,false,false
Espanya - Cabo Verde,0.0,0.0,false,false,true
Bèlgica - Egipte,1.0,1.0,false,false,true
Aràbia Saudí - Uruguai,1.0,1.0,false,false,true
Iran - Nova Zelanda,2.0,2.0,false,false,true
França - Senegal,3.0,1.0,true,false,false
Iraq - Noruega,1.0,4.0,false,true,false
Argentina - Algèria,3.0,0.0,true,false,false
Austria - Jordània,3.0,1.0,true,false,false
Portugal - RD Congo,1.0,1.0,false,false,true
Anglaterra - Croàcia,4.0,2.0,true,false,false
Ghana - Panamà,1.0,0.0,true,false,false
Uzbekistan - Colòmbia,1.0,3.0,false,true,false
Txèquia - Sud-Àfrica,1.0,1.0,false,false,true
Suïssa - Bosnia,4.0,1.0,true,false,false
Canadà - Qatar,6.0,0.0,true,false,false
Mèxic - Corea Sud,1.0,0.0,true,false,false
EUA - Austràlia,2.0,0.0,true,false,false
Escòcia - Marroc,0.0,1.0,false,true,false
Brasil - Haití,3.0,0.0,true,false,false
Turquia - Paraguai,0.0,1.0,false,true,false
Països Baixos - Suècia,5.0,1.0,true,false,false
Alemanya - Costa d’Ivori,2.0,1.0,true,false,false
Equador - Curaçao,0.0,0.0,false,false,true
Tunísia - Japó,0.0,4.0,false,true,false
Espanya - Aràbia Saudí,4.0,0.0,true,false,false
Bèlgica - Iran,0.0,0.0,false,false,true
Uruguai - Cabo Verde,2.0,2.0,false,false,true
Nova Zelanda - Egipte,1.0,3.0,false,true,false
Argentina - Austria,2.0,0.0,true,false,false
França - Iraq,3.0,0.0,true,false,false
Noruega - Senegal,3.0,2.0,true,false,false
Jordània - Algèria,1.0,2.0,false,true,false
Portugal - Uzbekistan,5.0,0.0,true,false,false
Anglaterra - Ghana,0.0,0.0,false,false,true
Panamà - Croàcia,0.0,1.0,false,true,false
Colòmbia - RD Congo,1.0,0.0,true,false,false
Bosnia - Qatar,3.0,1.0,true,false,false
Suïssa - Canadà,2.0,1.0,true,false,false
Marroc - Haití,4.0,2.0,true,false,false
Escòcia - Brasil,0.0,3.0,false,true,false
Sud-Àfrica - Corea Sud,1.0,0.0,true,false,false
Txèquia - Mèxic,0.0,3.0,false,true,false
Curaçao - Costa d’Ivori,0.0,2.0,false,true,false
Equador - Alemanya,2.0,1.0,true,false,false
Tunísia - Països Baixos,1.0,3.0,false,true,false
Japó - Suècia,1.0,1.0,false,false,true
Paraguai - Austràlia,0.0,0.0,false,false,true
Turquia - EUA,3.0,2.0,true,false,false
Senegal - Iraq,5.0,0.0,true,false,false
Noruega - França,1.0,4.0,false,true,false
Uruguai - Espanya,0.0,1.0,false,true,false
Cabo Verde - Aràbia Saudí,0.0,0.0,false,false,true
Egipte - Iran,1.0,1.0,false,false,true
Nova Zelanda - Bèlgica,1.0,5.0,false,true,false
Panamà - Anglaterra,0.0,2.0,false,true,false
Croàcia - Ghana,2.0,1.0,true,false,false
RD Congo - Uzbekistan,3.0,1.0,true,false,false
Colòmbia - Portugal,0.0,0.0,false,false,true
Algèria - Austria,3.0,3.0,false,false,true
Jordània - Argentina,1.0,3.0,false,true,false
Sud-Àfrica - Canadà,0.0,1.0,false,true,false
Brasil - Japó,2.0,1.0,true,false,false
Alemanya - Paraguai,1.0,1.0,false,false,true
Països Baixos - Marroc,1.0,1.0,false,false,true
Costa d’Ivori - Noruega,1.0,2.0,false,true,false
França - Suècia,3.0,0.0,true,false,false
Mèxic - Equador,2.0,0.0,true,false,false
Anglaterra - RD Congo,2.0,1.0,true,false,false
Bèlgica - Senegal,3.0,2.0,true,false,false
EUA - Bosnia,2.0,0.0,true,false,false
Espanya - Austria,3.0,0.0,true,false,false
Portugal - Croàcia,2.0,1.0,true,false,false
Suïssa - Algèria,2.0,0.0,true,false,false
Austràlia - Egipte,1.0,1.0,false,false,true
Argentina - Cabo Verde,3.0,2.0,true,false,false
Colòmbia - Ghana,1.0,0.0,true,false,false
